D:\pycharm_project\android_install>adb -s DU2TAN14A8019404 shell getevent -l
add device 1: /dev/input/event2
  name:     "hi6421_on"
could not get driver version for /dev/input/mouse0, Not a typewriter
add device 2: /dev/input/event4
  name:     "huawei,touchscreen"
add device 3: /dev/input/event0
  name:     "mhl_rcp_dev"
could not get driver version for /dev/input/mice, Not a typewriter
add device 4: /dev/input/event1
  name:     "hisi_gpio_key.14"
add device 5: /dev/input/event3
  name:     "hi3630_hi6401_CARD Headset Jack"
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000041
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    00000108
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000196
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_KEY       BTN_TOUCH            DOWN
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000055
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    00000109
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000196
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000057
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    0000010a
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000195
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000055
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    0000010c
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000194
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000055
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    00000110
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000193
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000055
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    00000114
/dev/input/event4: EV_ABS       ABS_MT_POSITION_Y    00000192
/dev/input/event4: EV_ABS       ABS_MT_TRACKING_ID   00000000
/dev/input/event4: EV_SYN       SYN_MT_REPORT        00000000
/dev/input/event4: EV_SYN       SYN_REPORT           00000000
/dev/input/event4: EV_ABS       ABS_MT_PRESSURE      00000055
/dev/input/event4: EV_ABS       ABS_MT_POSITION_X    0000011a
